id,carat,cut,color,clarity,depth,table,x,y,z,price
40,0.5,Premium,G,VVS2,62.1,61.0,5.1,5.07,3.16,7.499
41,2.01,Ideal,F,SI2,62.3,58.0,8.03,8.01,5.0,9.678
42,0.4,Premium,D,VVS2,60.4,59.0,4.76,4.77,2.88,7.141
43,1.52,Ideal,F,VS2,62.8,55.0,7.37,7.28,4.6,9.55
44,0.54,Ideal,E,VS2,61.9,57.0,5.2,5.23,3.23,7.47
45,0.41,Good,D,SI1,56.5,63.0,4.98,4.94,2.8,6.631
46,0.72,Ideal,E,VVS2,62.0,54.9,5.75,5.78,3.57,8.317
47,0.41,Ideal,F,VVS1,62.1,57.0,4.79,4.75,2.96,7.212
48,1.38,Ideal,F,VS2,61.9,55.0,7.16,7.12,4.42,9.324
49,0.9,Good,H,SI1,59.0,62.0,6.23,6.27,3.69,8.182
50,0.7,Very Good,E,VVS1,63.2,57.0,5.62,5.67,3.57,8.443
51,0.9,Ideal,I,SI2,61.9,57.0,6.19,6.13,3.81,7.976
52,1.57,Very Good,H,SI1,62.0,60.0,7.4,7.44,4.6,9.23
53,1.0,Very Good,D,VVS2,61.3,58.0,6.37,6.42,3.92,9.158
54,0.3,Very Good,G,VVS1,63.1,56.0,4.28,4.25,2.69,6.921
55,0.3,Premium,I,VS1,61.9,59.0,4.31,4.24,2.65,6.267
56,0.5,Ideal,F,VVS2,61.6,56.0,5.11,5.08,3.14,7.678
57,0.81,Ideal,G,SI1,62.2,57.0,5.97,6.02,3.73,8.068
58,0.3,Good,I,SI1,63.4,57.0,4.23,4.25,2.69,5.976
59,1.01,Premium,G,VS2,59.0,61.0,6.62,6.56,3.89,8.69
60,1.67,Ideal,I,VS1,61.2,57.0,7.69,7.66,4.7,9.287
61,0.31,Premium,H,VS2,62.5,60.0,4.36,4.31,2.71,6.443
62,0.9,Fair,G,SI1,65.6,56.0,6.1,6.03,3.98,8.054
63,1.4,Premium,E,SI2,62.4,57.0,7.17,7.12,4.46,8.724
64,1.2,Premium,I,VS1,59.9,59.0,6.96,6.87,4.14,8.74
65,0.54,Ideal,E,SI2,60.7,56.0,5.3,5.25,3.2,7.2
66,0.9,Good,F,SI2,65.9,60.0,5.98,6.01,3.95,8.15
67,0.82,Ideal,D,VS2,61.9,56.0,5.98,6.03,3.72,8.44
68,0.24,Very Good,D,VVS2,58.8,58.0,4.05,4.08,2.39,6.256
69,1.01,Ideal,H,SI1,62.2,57.0,6.43,6.37,3.98,8.484
70,0.38,Ideal,F,VVS1,61.1,57.0,4.71,4.69,2.87,7.056
71,0.36,Ideal,D,SI1,62.7,57.0,4.59,4.54,2.86,6.746
72,0.3,Very Good,E,VVS1,62.6,56.0,4.26,4.27,2.67,6.759
73,0.36,Ideal,D,VS1,61.8,55.0,4.58,4.54,2.82,6.91
74,0.35,Ideal,I,VS2,61.7,57.0,4.56,4.52,2.8,6.446
75,0.4,Ideal,D,VVS1,61.5,55.0,4.78,4.82,2.95,7.211
76,0.9,Good,F,SI1,62.7,58.0,6.11,6.13,3.84,8.237
77,0.58,Ideal,D,VVS1,60.6,57.0,5.38,5.41,3.27,8.073
78,1.0,Premium,F,VS2,62.6,60.0,6.29,6.37,3.96,8.757
79,0.32,Very Good,G,SI1,61.0,61.0,4.38,4.41,2.68,6.168
80,0.42,Ideal,D,SI1,63.0,55.0,4.79,4.76,3.01,6.877
81,0.32,Premium,H,VS1,60.6,60.0,4.4,4.44,2.68,6.33
82,0.3,Very Good,E,VS2,62.6,58.0,4.25,4.28,2.67,6.489
83,0.4,Very Good,H,VS2,59.1,61.0,4.81,4.84,2.85,6.603
84,1.59,Premium,E,SI2,60.5,59.0,7.59,7.55,4.58,9.114
85,1.1,Premium,H,SI2,59.5,57.0,6.81,6.74,4.03,8.295
86,0.96,Premium,J,SI1,60.3,59.0,6.4,6.36,3.85,8.092
87,0.41,Premium,E,SI1,60.2,60.0,4.78,4.82,2.89,6.627
88,0.71,Very Good,F,SI2,59.5,58.0,5.82,5.87,3.48,7.663
89,0.4,Good,E,SI2,61.2,61.0,4.71,4.74,2.89,6.377
90,0.46,Ideal,G,VVS1,61.6,55.0,5.0,5.03,3.09,7.496
91,0.3,Very Good,E,SI1,60.6,56.0,4.35,4.37,2.64,6.265
92,0.39,Good,E,VS2,63.1,56.0,4.63,4.69,2.94,6.721
93,1.07,Ideal,D,IF,60.9,54.0,6.66,6.73,4.08,9.743
94,0.23,Ideal,H,VS2,62.3,53.0,3.96,3.99,2.48,6.238
95,0.23,Very Good,E,VVS2,61.2,58.0,3.93,3.98,2.42,6.273
96,1.57,Ideal,I,SI2,62.6,58.0,7.38,7.41,4.63,9.015
97,0.33,Ideal,F,VVS1,61.9,55.0,4.44,4.42,2.74,6.929
98,1.55,Very Good,H,VS2,63.3,56.0,7.38,7.32,4.65,9.264
99,0.51,Ideal,D,VS2,61.5,57.0,5.11,5.14,3.15,7.488
100,0.57,Ideal,F,VVS2,61.5,57.0,5.36,5.31,3.28,7.766
101,0.3,Good,G,VVS1,64.0,57.0,4.27,4.23,2.72,6.778
102,0.8,Ideal,G,SI2,62.5,55.0,5.89,5.92,3.69,7.97
103,1.5,Very Good,H,SI1,62.6,57.0,7.26,7.3,4.56,9.122
104,0.38,Ideal,D,VS1,61.9,53.5,4.66,4.69,2.9,6.891
105,0.33,Premium,D,VVS1,61.8,58.0,4.43,4.4,2.73,7.096
106,1.12,Ideal,G,VVS2,62.0,55.0,6.67,6.69,4.14,9.079
107,0.42,Ideal,D,SI1,61.9,56.0,4.84,4.82,2.99,6.947
108,1.23,Premium,I,SI2,62.5,60.0,6.82,6.75,4.24,8.57
109,0.32,Ideal,E,VVS2,62.4,56.0,4.39,4.43,2.75,6.762
110,0.71,Ideal,D,SI2,62.5,56.0,5.7,5.73,3.57,7.819
111,0.42,Premium,F,VVS2,61.7,59.0,4.78,4.82,2.96,7.041
112,1.28,Ideal,E,VS1,61.7,57.0,6.93,6.97,4.29,9.343
113,0.3,Fair,F,VS2,64.5,55.0,4.31,4.19,2.74,6.495
114,0.33,Premium,I,SI1,62.8,58.0,4.43,4.39,2.77,6.349
115,2.03,Ideal,G,SI2,62.5,56.0,8.1,8.05,5.05,9.711
116,0.9,Good,G,I1,63.6,61.0,6.03,6.07,3.85,7.708
117,0.5,Premium,I,SI2,59.8,56.0,5.23,5.18,3.11,6.802
118,1.02,Ideal,H,VS2,61.2,56.0,6.53,6.48,3.98,8.578
119,1.34,Very Good,D,SI2,62.3,59.0,6.99,7.03,4.37,8.886
120,0.88,Ideal,F,SI2,62.2,56.0,6.11,6.17,3.82,8.194
121,0.31,Ideal,D,SI1,62.5,53.0,4.34,4.37,2.72,6.279
122,0.44,Ideal,E,VS1,61.5,56.0,4.92,4.9,3.02,7.052
123,0.73,Premium,I,VS1,60.3,58.0,5.83,5.87,3.53,7.771
124,0.28,Very Good,D,VVS1,60.6,58.0,4.23,4.25,2.57,6.465
125,1.54,Ideal,G,VS1,62.3,57.0,7.35,7.38,4.59,9.536
126,0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,8.126
127,0.7,Premium,D,SI2,60.8,61.0,5.69,5.64,3.45,7.594
128,0.31,Premium,I,SI1,61.4,61.0,4.39,4.34,2.68,6.26
129,0.9,Good,G,SI1,65.2,58.0,6.0,6.06,3.93,8.208
130,0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,7.856
131,0.3,Ideal,J,VS1,62.0,57.0,4.28,4.3,2.66,6.019
132,0.9,Premium,F,SI2,58.9,59.0,6.31,6.26,3.7,8.244
133,1.5,Ideal,H,SI1,61.3,57.0,7.38,7.4,4.53,9.28
134,1.52,Premium,H,VVS2,63.0,60.0,7.3,7.25,4.58,9.394
135,0.7,Fair,E,VS2,65.7,55.0,5.45,5.51,3.6,7.799
136,0.4,Fair,E,VVS2,57.3,60.0,4.84,4.89,2.79,6.974
137,0.39,Ideal,D,VS1,61.9,57.0,4.71,4.69,2.91,7.065
138,0.28,Very Good,G,VVS2,61.1,56.0,4.25,4.27,2.6,6.258
139,0.73,Ideal,E,SI2,60.4,56.0,5.81,5.89,3.54,7.797
140,1.28,Good,H,SI2,63.8,55.0,6.84,6.79,4.35,8.415
141,1.01,Ideal,G,VS2,61.0,56.0,6.47,6.51,3.96,8.815
142,0.52,Very Good,G,VS1,62.3,58.0,5.14,5.17,3.21,7.396
143,2.0,Ideal,I,SI1,62.8,56.0,8.04,7.95,5.02,9.633
144,0.71,Premium,D,SI1,59.7,59.0,5.82,5.8,3.47,7.96
145,2.23,Premium,J,SI2,61.3,60.0,8.4,8.35,5.13,9.542
146,0.71,Very Good,I,SI1,60.4,63.0,5.73,5.8,3.48,7.563
147,0.31,Ideal,I,VVS1,62.0,54.0,4.37,4.4,2.72,6.323
148,0.65,Premium,I,SI2,60.7,58.0,5.65,5.62,3.42,7.106
149,0.71,Ideal,D,VS1,60.9,57.0,5.74,5.76,3.5,8.166
150,0.41,Premium,E,VS1,60.7,58.0,4.83,4.79,2.92,7.05
151,1.71,Very Good,F,VS1,61.9,61.0,7.61,7.67,4.73,9.78
152,0.91,Very Good,G,VS1,63.1,61.0,6.13,6.07,3.85,8.42
153,1.01,Premium,E,VS2,60.2,58.0,6.56,6.52,3.94,8.754
154,0.51,Ideal,G,VVS2,61.9,55.0,5.14,5.17,3.19,7.563
155,0.3,Premium,G,SI1,62.5,61.0,4.29,4.26,2.67,6.209
156,1.6,Premium,G,VS2,61.6,60.0,7.55,7.49,4.63,9.543
157,0.38,Premium,E,VVS1,60.6,59.0,4.62,4.65,2.81,6.954
158,0.43,Very Good,G,VVS2,62.3,60.0,4.78,4.85,3.0,6.962
159,0.32,Ideal,F,VVS2,61.4,57.0,4.41,4.45,2.72,6.59
160,0.71,Premium,I,SI1,61.7,56.0,5.73,5.71,3.53,7.481
161,1.01,Very Good,G,VS1,61.9,58.0,6.42,6.5,4.0,8.725
162,0.59,Ideal,G,SI1,61.3,56.0,5.41,5.43,3.32,7.545
163,2.01,Premium,I,SI1,61.5,60.0,8.12,8.01,4.96,9.711
164,2.0,Fair,I,SI2,65.0,57.0,8.01,7.96,5.19,9.171
165,1.11,Very Good,E,SI2,61.6,61.0,6.61,6.66,4.09,8.319
166,1.01,Premium,F,SI2,62.6,60.0,6.35,6.37,3.98,8.393
167,0.95,Good,E,VS2,57.7,58.0,6.47,6.52,3.75,8.57
168,2.13,Premium,H,SI2,62.4,56.0,8.26,8.19,5.13,9.454
169,0.39,Very Good,F,VVS1,60.8,57.0,4.72,4.75,2.88,7.009
170,1.0,Very Good,F,SI2,62.6,58.0,6.31,6.37,3.97,8.314
171,1.7,Ideal,E,SI2,61.6,57.0,7.63,7.57,4.68,9.12
172,0.31,Ideal,D,VS1,61.1,55.0,4.37,4.4,2.68,6.652
173,0.33,Ideal,D,VVS2,61.1,56.0,4.46,4.44,2.72,6.929
174,0.53,Premium,D,VS2,60.4,58.0,5.26,5.23,3.17,7.579
175,1.11,Premium,E,SI2,61.6,61.0,6.66,6.61,4.09,8.337
176,1.01,Premium,E,VS1,62.9,60.0,6.43,6.33,4.01,8.918
177,0.3,Ideal,G,VS1,61.7,57.0,4.32,4.3,2.66,6.654
178,1.0,Premium,D,SI2,59.4,60.0,6.56,6.48,3.87,8.439
179,0.3,Premium,J,VS2,60.6,59.0,4.38,4.34,2.64,6.159
180,0.23,Premium,D,VVS2,58.9,60.0,4.03,3.95,2.35,6.534
181,1.51,Ideal,I,VVS2,61.6,58.0,7.35,7.4,4.54,9.289
182,0.61,Ideal,H,VS2,62.5,54.0,5.43,5.45,3.4,7.372
183,1.01,Very Good,G,VS2,61.5,56.0,6.41,6.47,3.96,8.659
184,0.4,Premium,D,VS2,62.5,59.0,4.72,4.66,2.93,6.957
185,0.35,Premium,H,VS1,61.7,59.0,4.51,4.53,2.79,6.42
186,0.33,Very Good,G,SI1,61.1,59.0,4.42,4.45,2.71,6.198
187,0.92,Very Good,H,VS1,61.7,62.0,6.2,6.12,3.8,8.349
188,0.31,Ideal,D,SI1,62.4,56.0,4.31,4.35,2.7,6.347
189,0.3,Premium,E,VS2,62.6,62.0,4.25,4.21,2.65,6.669
190,1.0,Good,E,VS2,63.3,59.0,6.29,6.34,4.0,8.697
191,0.3,Very Good,D,VS2,62.5,59.0,4.23,4.28,2.66,6.565
192,0.9,Premium,G,SI2,60.4,58.0,6.25,6.3,3.79,8.145
193,0.5,Very Good,G,VS1,61.3,58.0,5.03,5.09,3.1,7.373
194,0.7,Ideal,G,VS2,62.9,56.0,5.7,5.65,3.57,7.773
195,1.71,Ideal,H,VS2,61.9,57.0,7.67,7.61,4.73,9.171
196,0.34,Ideal,E,SI1,61.4,54.0,4.53,4.5,2.77,6.64
197,0.32,Ideal,D,VS1,61.1,56.0,4.44,4.47,2.72,6.561
198,0.32,Very Good,F,VS1,60.0,62.0,4.44,4.49,2.68,6.682
199,0.9,Very Good,H,VS2,62.6,58.0,6.14,6.22,3.87,8.291
200,0.57,Ideal,I,VS2,61.9,57.0,5.3,5.33,3.29,7.251
201,1.0,Premium,F,SI1,62.1,59.0,6.36,6.39,3.96,8.529
202,0.5,Premium,F,VS2,62.1,58.0,5.1,5.01,3.14,7.411
203,1.19,Very Good,G,SI1,62.8,57.0,6.71,6.77,4.23,8.72
204,0.5,Fair,D,SI1,64.6,58.0,5.0,4.97,3.22,7.188
205,1.61,Ideal,I,SI1,62.4,55.0,7.49,7.52,4.68,9.234
206,0.38,Ideal,F,IF,61.5,56.0,4.67,4.7,2.88,7.1
207,0.39,Premium,F,VS2,62.4,58.0,4.65,4.61,2.89,6.959
208,1.31,Ideal,F,VS1,61.9,54.0,7.03,7.06,4.35,9.302
209,0.7,Good,D,VS1,60.4,63.0,5.73,5.76,3.47,8.041
210,0.5,Ideal,H,VVS1,61.4,57.0,5.08,5.11,3.12,7.429
211,0.5,Ideal,E,SI1,62.3,56.0,5.06,5.12,3.17,7.251
212,0.39,Ideal,H,VVS2,62.1,54.3,4.63,4.69,2.9,6.749
213,0.4,Ideal,I,VVS1,63.0,55.0,4.7,4.73,2.97,6.672
214,0.33,Very Good,D,VVS2,59.5,56.0,4.51,4.56,2.7,6.838
215,0.32,Premium,G,VS2,61.5,59.0,4.4,4.42,2.71,6.33
216,0.62,Very Good,E,SI2,58.8,63.0,5.58,5.61,3.29,7.393
217,0.4,Good,E,SI1,63.2,56.0,4.65,4.69,2.95,6.532
218,1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,8.957
219,0.37,Ideal,F,VVS2,60.5,60.0,4.65,4.67,2.82,6.775
220,0.8,Premium,E,SI1,61.2,60.0,5.97,5.95,3.65,7.977
221,0.54,Premium,D,VS2,61.1,55.0,5.37,5.24,3.24,7.597
222,1.27,Very Good,J,VS1,63.4,60.0,6.85,6.8,4.33,8.646
223,0.71,Premium,J,VS2,62.8,61.0,5.71,5.63,3.56,7.559
224,0.4,Premium,D,SI1,61.6,58.0,4.73,4.69,2.9,6.898
225,0.9,Very Good,E,VS2,62.9,57.0,6.16,6.18,3.88,8.429
226,1.7,Premium,G,SI2,62.2,59.0,7.68,7.6,4.75,8.911
227,0.23,Ideal,G,VS1,61.9,54.0,3.93,3.95,2.44,6.001
228,0.34,Premium,H,VS1,60.8,59.0,4.53,4.48,2.74,6.64
229,0.9,Very Good,G,SI2,63.5,57.0,6.09,6.13,3.88,8.117
230,0.31,Premium,D,VS1,59.6,58.0,4.38,4.41,2.62,6.526
231,1.12,Very Good,H,SI2,62.9,58.0,6.55,6.62,4.14,8.411
232,0.43,Ideal,D,SI1,61.5,56.0,4.82,4.87,2.98,6.721
233,0.39,Ideal,G,VVS2,61.7,54.2,4.69,4.75,2.91,6.859
234,1.57,Premium,I,SI2,62.4,58.0,7.41,7.37,4.61,8.984
235,0.3,Ideal,E,VVS1,61.2,57.0,4.32,4.34,2.65,6.731
236,1.7,Very Good,I,VS2,63.0,58.0,7.52,7.65,4.78,9.3
237,0.25,Very Good,D,VVS2,62.1,57.0,4.02,4.07,2.51,6.306
238,0.96,Very Good,E,VS2,58.7,58.0,6.47,6.51,3.81,8.699
239,1.15,Premium,H,VS2,60.2,58.0,6.86,6.8,4.11,8.555
240,0.64,Ideal,F,VVS2,60.9,56.0,5.57,5.59,3.4,8.076
241,0.4,Ideal,F,VS2,62.6,54.0,4.73,4.78,2.98,6.737
242,0.3,Very Good,F,IF,62.1,57.0,4.26,4.3,2.66,6.787
243,0.59,Ideal,G,VS1,62.1,55.0,5.35,5.4,3.34,7.558
244,0.3,Good,H,SI2,63.9,57.0,4.27,4.24,2.72,6.184
245,0.4,Very Good,D,SI1,63.0,59.0,4.69,4.7,2.96,6.537
246,0.39,Very Good,G,VS2,63.4,57.0,4.67,4.63,2.95,6.917
247,0.7,Very Good,I,SI1,63.8,56.0,5.58,5.62,3.57,7.587
248,0.72,Ideal,F,SI1,62.1,55.0,5.73,5.8,3.58,7.8
249,1.31,Premium,I,VS1,62.8,57.0,6.98,6.9,4.36,8.659
250,1.51,Ideal,G,VS1,62.1,55.0,7.38,7.33,4.57,9.546
251,0.6,Fair,E,SI2,66.5,56.0,5.31,5.21,3.5,6.94
252,0.81,Ideal,F,SI1,61.8,55.0,6.04,6.0,3.72,8.008
253,1.0,Very Good,E,SI1,59.6,60.0,6.43,6.48,3.85,8.585
254,0.9,Ideal,D,SI1,62.1,57.0,6.18,6.25,3.86,8.417
255,0.72,Ideal,D,VS2,62.1,54.0,5.76,5.81,3.59,8.146
256,1.0,Very Good,H,SI2,60.8,60.0,6.44,6.49,3.93,8.411
257,1.29,Premium,I,SI2,61.1,62.0,7.0,6.94,4.26,8.364
258,0.41,Premium,E,SI1,61.4,56.0,4.81,4.77,2.94,6.876
259,3.4,Fair,D,I1,66.8,52.0,9.42,9.34,6.27,9.678
260,1.1,Very Good,D,SI1,60.7,55.0,6.71,6.74,4.08,8.757
261,0.38,Ideal,H,VVS2,62.1,53.9,4.64,4.69,2.9,6.724
262,0.32,Ideal,E,VS2,61.4,56.0,4.45,4.41,2.72,6.644
263,1.66,Ideal,J,SI2,60.8,57.0,7.68,7.65,4.66,8.76
264,0.41,Ideal,G,VS1,61.5,56.0,4.79,4.77,2.94,6.868
265,1.0,Premium,G,SI2,60.7,59.0,6.45,6.41,3.9,8.139
266,1.01,Very Good,D,SI2,61.8,57.0,6.42,6.47,3.98,8.357
267,0.77,Premium,D,VS1,59.4,59.0,6.0,5.96,3.55,8.286
268,1.01,Very Good,E,SI1,62.3,56.0,6.36,6.42,3.98,8.583
269,0.3,Ideal,G,IF,62.2,56.0,4.26,4.29,2.66,6.745
270,0.71,Ideal,F,SI2,62.2,56.0,5.71,5.74,3.56,7.742
271,0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,6.433
272,0.8,Very Good,F,SI2,59.7,56.0,6.05,6.11,3.63,7.849
273,1.16,Premium,F,SI2,62.1,59.0,6.76,6.71,4.18,8.549
274,0.28,Ideal,H,VS1,62.3,55.0,4.21,4.24,2.63,6.176
275,0.33,Good,I,SI1,63.2,58.0,4.36,4.38,2.76,6.098
276,0.51,Ideal,F,VS1,60.4,56.0,5.18,5.21,3.14,7.427
277,1.0,Very Good,I,VS1,61.1,59.9,6.37,6.41,3.9,8.519
278,0.43,Premium,G,VS2,61.2,58.0,4.84,4.9,2.98,6.765
279,0.35,Ideal,D,SI1,61.6,57.0,4.54,4.55,2.8,6.468
280,0.38,Premium,D,SI1,59.1,58.0,4.74,4.77,2.81,6.454
281,1.52,Very Good,J,VVS1,63.6,56.0,7.26,7.33,4.64,9.169
282,2.01,Premium,H,SI2,62.3,58.0,8.06,8.11,5.04,9.666
283,2.51,Ideal,H,SI1,62.9,56.0,8.65,8.61,5.43,9.637
284,1.55,Ideal,E,VVS2,62.5,55.0,7.38,7.4,4.62,9.809
285,0.35,Ideal,E,VVS1,61.9,56.0,4.55,4.53,2.81,6.874
286,0.52,Very Good,H,VVS1,63.9,59.0,5.08,5.1,3.25,7.417
287,1.22,Ideal,G,VVS1,61.1,56.0,6.91,6.94,4.23,9.295
288,0.33,Premium,E,VS1,61.6,58.0,4.41,4.45,2.73,6.661
289,0.32,Very Good,I,VVS2,63.0,57.0,4.33,4.37,2.74,6.33
290,1.26,Ideal,J,SI1,62.0,56.0,6.93,6.9,4.29,8.594
291,0.81,Good,D,SI2,63.6,55.0,5.91,5.86,3.74,7.981
292,0.54,Premium,H,VS1,62.6,59.0,5.19,5.22,3.26,7.378
293,0.3,Premium,G,VS1,61.8,60.0,4.29,4.32,2.66,6.405
294,1.3,Premium,F,VS1,61.0,59.0,7.05,7.08,4.31,9.299
295,0.32,Ideal,E,VS2,62.1,56.0,4.4,4.43,2.74,6.554
296,0.54,Premium,G,VS1,61.1,59.0,5.22,5.26,3.2,7.47
297,0.32,Premium,I,VS2,62.6,58.0,4.37,4.42,2.75,6.107
298,0.31,Ideal,H,VS2,61.5,54.0,4.35,4.4,2.69,6.25
299,0.32,Ideal,G,VS1,61.2,56.0,4.45,4.41,2.71,6.719
300,0.42,Premium,H,VS1,61.6,58.0,4.82,4.79,2.96,6.991
301,0.34,Ideal,E,VS2,61.8,57.0,4.48,4.52,2.78,6.545
302,0.42,Premium,D,SI2,62.0,59.0,4.83,4.78,2.98,6.759
303,0.55,Premium,E,SI2,59.7,58.0,5.33,5.35,3.19,7.146
304,0.55,Premium,H,VS2,60.2,59.0,5.36,5.24,3.19,7.235
305,2.1,Ideal,H,SI1,61.7,53.0,8.3,8.19,5.09,9.618
306,0.53,Ideal,I,SI1,61.5,54.0,5.22,5.26,3.22,6.945
307,1.03,Ideal,D,VVS2,62.0,56.0,6.46,6.55,4.03,9.19
308,0.45,Premium,G,VVS1,60.1,58.0,4.97,4.95,2.98,7.188
309,1.0,Ideal,E,VS2,59.6,57.0,6.43,6.42,3.83,8.877
310,0.72,Ideal,D,VS1,61.6,56.0,5.73,5.8,3.55,8.167
311,0.3,Very Good,E,VS2,61.8,58.0,4.26,4.28,2.64,6.489
312,1.02,Premium,D,SI2,59.7,60.0,6.58,6.55,3.92,8.556
313,0.5,Good,F,VS2,63.2,56.0,5.01,5.05,3.18,7.27
314,0.23,Very Good,E,VS1,59.6,65.0,3.95,3.97,2.36,5.935
315,0.51,Premium,E,VS1,61.9,58.0,5.1,5.15,3.17,7.513
316,1.74,Premium,I,SI1,58.7,60.0,7.9,7.84,4.62,9.307
317,1.02,Premium,F,SI1,62.5,56.0,6.44,6.35,4.0,8.494
318,1.05,Premium,E,SI1,62.5,59.0,6.5,6.43,4.04,8.691
319,0.3,Premium,E,SI1,60.6,56.0,4.37,4.35,2.64,6.515
320,1.5,Good,J,SI2,60.9,62.0,7.3,7.32,4.45,8.817
321,2.43,Premium,J,VS2,62.2,57.0,8.63,8.54,5.34,9.836
322,0.82,Very Good,J,SI1,62.9,57.0,5.88,5.94,3.72,7.746
323,1.71,Ideal,J,VS1,62.1,55.0,7.73,7.65,4.78,9.368
324,0.36,Ideal,H,VVS1,62.3,56.0,4.57,4.54,2.84,6.959
325,0.55,Ideal,G,VS1,60.9,55.0,5.34,5.37,3.26,7.596
326,0.41,Premium,I,VVS2,62.1,58.0,4.78,4.76,2.96,6.967
327,0.29,Very Good,H,VS1,62.2,56.0,4.24,4.27,2.64,6.096
328,0.33,Ideal,H,VS2,61.2,55.0,4.45,4.47,2.73,6.256
329,0.53,Very Good,G,SI1,61.0,55.0,5.21,5.32,3.21,7.106
330,1.51,Ideal,F,VS1,62.1,56.0,7.38,7.34,4.57,9.712
331,0.91,Very Good,H,VS2,62.6,57.0,6.15,6.21,3.87,8.501
332,1.06,Premium,I,VS1,61.2,57.1,6.56,6.59,4.03,8.622
333,0.7,Premium,E,SI1,60.5,58.0,5.77,5.74,3.48,7.929
334,0.52,Ideal,G,VVS2,61.0,56.0,5.18,5.24,3.18,7.555
335,0.91,Very Good,H,VS1,62.7,63.0,6.1,6.03,3.8,8.264
336,1.01,Ideal,G,VS2,62.0,54.9,6.41,6.44,3.99,8.748
337,0.31,Very Good,I,VS1,62.8,57.0,4.28,4.32,2.7,6.192
338,2.28,Good,J,SI1,63.7,55.0,8.35,8.28,5.3,9.572
339,0.26,Ideal,H,VS1,62.2,55.0,4.06,4.11,2.54,6.136
340,1.1,Very Good,H,VS2,61.3,58.0,6.63,6.74,4.1,8.685
341,0.42,Ideal,G,VVS2,62.7,56.0,4.77,4.74,2.98,7.006
